run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
robert-run27,2025-11-15T12:51:26Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,32,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,780.000
robert-run28,2025-11-16T17:22:40Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,32,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,860.000
robert-run29,2025-11-16T17:38:56Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,32,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,901.000
robert-run30,2025-11-16T17:56:24Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,16,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1109.000
robert-run31,2025-11-16T18:15:15Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,1500.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,16,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1094.000
robert-run32,2025-11-16T18:39:56Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,16,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1017.000
robert-run33,2025-11-16T19:07:50Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,1500.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,590.000
robert-run34,2025-11-16T19:17:54Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,585.000
robert-run35,2025-11-16T19:28:03Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,500.000
robert-run36,2025-11-17T08:36:30Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,256,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,646.000
robert-run37,2025-11-17T08:51:43Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,256,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,92.384629,575.000
robert-run38,2025-11-17T09:01:28Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,256,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,615.000
